Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2024,RA-87,Aluno-87,7A,7.0,Fase 6 (2° EM),7A,17,Masculino,2021,Privada - Programa de Apadrinhamento,Topázio,9.437924561333332,8.751,9.649122807,9.375,9.375,9.166666666666666,10.0,7.5,10.0,9.623333333,10.0,1,False
2024,RA-64,Aluno-64,7A,7.0,Fase 7 (3° EM),7A,18,Feminino,2021,Privada - Programa de Apadrinhamento,Topázio,8.743607059266667,10.002,8.980785296666667,8.135,8.4375,8.166666666666666,8.0,6.5,10.0,8.283333333,10.0,0,False
2024,RA-48,Aluno-48,7A,7.0,Fase 7 (3° EM),7A,17,Feminino,2021,Privada - Programa de Apadrinhamento,Topázio,8.402390371800001,7.917,8.339076859,9.375,8.59375,7.5,6.5,6.0,10.0,8.23,10.0,0,False
2024,RA-1230,Aluno-1230,7E,7.0,Fase 7 (3° EM),7E,17,Feminino,2021,Privada - Programa de Apadrinhamento,Quartzo,4.7612000000000005,7.917,0.0,7.195,7.5,0.0,0.0,0.0,0.0,7.5,10.0,0,False
2024,RA-90,Aluno-90,7E,7.0,Fase 5 (1° EM),7E,15,Feminino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.352033333333335,10.002,9.0,6.885,7.5,8.066666666666666,7.7,8.3,8.2,7.5,10.0,2,False
2024,RA-269,Aluno-269,7E,7.0,Fase 5 (1° EM),7E,15,Masculino,2022,Privada *Parcerias com Bolsa 100%,Topázio,8.4773,9.168,9.6,7.505,7.5,8.200000000000001,8.1,8.6,7.9,7.5,10.0,2,False
2024,RA-270,Aluno-270,7E,7.0,Fase 5 (1° EM),7E,15,Feminino,2021,Privada - Programa de Apadrinhamento,Quartzo,4.79255,9.168,0.0,6.2575,7.5,0.0,0.0,0.0,0.0,7.5,10.0,2,False
2024,RA-76,Aluno-76,7E,7.0,Fase 5 (1° EM),7E,16,Feminino,2021,Privada *Parcerias com Bolsa 100%,Topázio,8.152033333333334,10.002,9.0,6.885,7.5,7.066666666666666,7.3,7.8,6.1,7.5,10.0,2,False
2024,RA-153,Aluno-153,7E,7.0,Fase 5 (1° EM),7E,16,Feminino,2021,Privada - Programa de Apadrinhamento,Quartzo,4.78185,8.751,0.0,6.5675,7.5,0.0,0.0,0.0,0.0,7.5,10.0,2,False
2024,RA-1226,Aluno-1226,7E,7.0,Fase 7 (3° EM),7E,17,Feminino,2021,Privada *Parcerias com Bolsa 100%,Ametista,7.785233333333334,8.334,9.0,6.885,7.5,6.066666666666666,6.0,6.2,6.0,7.5,10.0,0,False
